Indicator,Year,Geography,FIPS,Numerator,Percent
Households living below the federal poverty level,2011,Alabama,1,"186,517",14.9
Households living below the federal poverty level,2012,Alabama,1,"181,389",14.7
Households living below the federal poverty level,2013,Alabama,1,"174,827",14.3
Households living below the federal poverty level,2014,Alabama,1,"184,877",15
Households living below the federal poverty level,2015,Alabama,1,"166,255",13.7
Households living below the federal poverty level,2016,Alabama,1,"153,462",12.7
Households living below the federal poverty level,2017,Alabama,1,"154,072",12.8
Households living below the federal poverty level,2018,Alabama,1,"148,205",12.2
Households living below the federal poverty level,2019,Alabama,1,"138,643",11.2
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Alabama,1,"117,112",9.8
Households living below the federal poverty level,2021,Alabama,1,"148,751",11.7
Population 25 years and older w/o HS diploma,2011,Alabama,1,"552,402",17.3
Population 25 years and older w/o HS diploma,2012,Alabama,1,"513,543",16
Population 25 years and older w/o HS diploma,2013,Alabama,1,"499,944",15.5
Population 25 years and older w/o HS diploma,2014,Alabama,1,"498,285",15.3
Population 25 years and older w/o HS diploma,2015,Alabama,1,"496,882",15.1
Population 25 years and older w/o HS diploma,2016,Alabama,1,"491,694",14.9
Population 25 years and older w/o HS diploma,2017,Alabama,1,"446,943",13.5
Population 25 years and older w/o HS diploma,2018,Alabama,1,"448,179",13.4
Population 25 years and older w/o HS diploma,2019,Alabama,1,"433,073",12.9
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Alabama,1,"405,665",12
Population 25 years and older w/o HS diploma,2021,Alabama,1,"416,467",12.1
Uninsured,2011,Alabama,1,"673,964",14.3
Uninsured,2012,Alabama,1,"632,499",13.3
Uninsured,2013,Alabama,1,"645,435",13.6
Uninsured,2014,Alabama,1,"579,169",12.1
Uninsured,2015,Alabama,1,"484,271",10.1
Uninsured,2016,Alabama,1,"434,973",9.1
Uninsured,2017,Alabama,1,"448,926",9.4
Uninsured,2018,Alabama,1,"481,259",10
Uninsured,2019,Alabama,1,"468,901",9.7
Uninsured,2020 (COVID-19 Pandemic),Alabama,1,"469,786",9.7
Uninsured,2021,Alabama,1,"488,571",9.9
Vacant housing,2011,Alabama,1,"337,653",15.5
Vacant housing,2012,Alabama,1,"344,398",15.7
Vacant housing,2013,Alabama,1,"367,588",16.8
Vacant housing,2014,Alabama,1,"366,813",16.6
Vacant housing,2015,Alabama,1,"372,001",16.8
Vacant housing,2016,Alabama,1,"377,662",16.9
Vacant housing,2017,Alabama,1,"417,004",18.5
Vacant housing,2018,Alabama,1,"419,527",18.4
Vacant housing,2019,Alabama,1,"387,346",17
Vacant housing,2020 (COVID-19 Pandemic),Alabama,1,"407,252",17.7
Vacant housing,2021,Alabama,1,"346,057",15
Households living below the federal poverty level,2011,Alaska,2,"11,956",6.9
Households living below the federal poverty level,2012,Alaska,2,"12,480",7.5
Households living below the federal poverty level,2013,Alaska,2,"9,760",5.9
Households living below the federal poverty level,2014,Alaska,2,"13,036",7.9
Households living below the federal poverty level,2015,Alaska,2,"11,466",7
Households living below the federal poverty level,2016,Alaska,2,"10,995",6.7
Households living below the federal poverty level,2017,Alaska,2,"12,388",7.4
Households living below the federal poverty level,2018,Alaska,2,"12,565",7.5
Households living below the federal poverty level,2019,Alaska,2,"10,767",6.6
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Alaska,2,"9,291",5.6
Households living below the federal poverty level,2021,Alaska,2,"12,238",7.1
Population 25 years and older w/o HS diploma,2011,Alaska,2,"37,920",8.3
Population 25 years and older w/o HS diploma,2012,Alaska,2,"37,168",8
Population 25 years and older w/o HS diploma,2013,Alaska,2,"38,863",8.4
Population 25 years and older w/o HS diploma,2014,Alaska,2,"33,026",7.1
Population 25 years and older w/o HS diploma,2015,Alaska,2,"34,616",7.4
Population 25 years and older w/o HS diploma,2016,Alaska,2,"32,977",6.9
Population 25 years and older w/o HS diploma,2017,Alaska,2,"40,036",8.4
Population 25 years and older w/o HS diploma,2018,Alaska,2,"32,444",6.7
Population 25 years and older w/o HS diploma,2019,Alaska,2,"31,090",6.4
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Alaska,2,"30,535",6.3
Population 25 years and older w/o HS diploma,2021,Alaska,2,"32,490",6.7
Uninsured,2011,Alaska,2,"140,660",20.1
Uninsured,2012,Alaska,2,"145,288",20.5
Uninsured,2013,Alaska,2,"131,986",18.5
Uninsured,2014,Alaska,2,"122,436",17.2
Uninsured,2015,Alaska,2,"105,966",14.9
Uninsured,2016,Alaska,2,"100,628",14
Uninsured,2017,Alaska,2,"97,796",13.7
Uninsured,2018,Alaska,2,"90,128",12.6
Uninsured,2019,Alaska,2,"86,187",12.2
Uninsured,2020 (COVID-19 Pandemic),Alaska,2,"81,205",11.6
Uninsured,2021,Alaska,2,"80,083",11.4
Vacant housing,2011,Alaska,2,"53,852",17.3
Vacant housing,2012,Alaska,2,"55,977",18.2
Vacant housing,2013,Alaska,2,"61,402",20
Vacant housing,2014,Alaska,2,"58,912",19.1
Vacant housing,2015,Alaska,2,"59,268",19.2
Vacant housing,2016,Alaska,2,"62,204",20
Vacant housing,2017,Alaska,2,"66,227",20.9
Vacant housing,2018,Alaska,2,"63,801",20
Vacant housing,2019,Alaska,2,"67,668",21.2
Vacant housing,2020 (COVID-19 Pandemic),Alaska,2,"65,929",20.5
Vacant housing,2021,Alaska,2,"56,578",17.3
Households living below the federal poverty level,2011,Arizona,4,"217,693",14.1
Households living below the federal poverty level,2012,Arizona,4,"212,253",13.6
Households living below the federal poverty level,2013,Arizona,4,"213,834",13.6
Households living below the federal poverty level,2014,Arizona,4,"208,491",13.2
Households living below the federal poverty level,2015,Arizona,4,"199,802",12.5
Households living below the federal poverty level,2016,Arizona,4,"196,200",11.9
Households living below the federal poverty level,2017,Arizona,4,"176,799",10.7
Households living below the federal poverty level,2018,Arizona,4,"169,588",9.9
Households living below the federal poverty level,2019,Arizona,4,"165,367",9.5
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Arizona,4,"155,363",8.8
Households living below the federal poverty level,2021,Arizona,4,"168,018",9.1
Population 25 years and older w/o HS diploma,2011,Arizona,4,"602,205",14.3
Population 25 years and older w/o HS diploma,2012,Arizona,4,"612,106",14.3
Population 25 years and older w/o HS diploma,2013,Arizona,4,"612,608",14.1
Population 25 years and older w/o HS diploma,2014,Arizona,4,"616,635",13.9
Population 25 years and older w/o HS diploma,2015,Arizona,4,"630,973",13.9
Population 25 years and older w/o HS diploma,2016,Arizona,4,"614,439",13.2
Population 25 years and older w/o HS diploma,2017,Arizona,4,"604,898",12.8
Population 25 years and older w/o HS diploma,2018,Arizona,4,"605,934",12.5
Population 25 years and older w/o HS diploma,2019,Arizona,4,"612,998",12.4
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Arizona,4,"553,104",10.9
Population 25 years and older w/o HS diploma,2021,Arizona,4,"549,363",11
Uninsured,2011,Arizona,4,"1,095,010",17.2
Uninsured,2012,Arizona,4,"1,130,959",17.6
Uninsured,2013,Arizona,4,"1,118,186",17.1
Uninsured,2014,Arizona,4,"903,328",13.6
Uninsured,2015,Arizona,4,"727,976",10.8
Uninsured,2016,Arizona,4,"681,238",10
Uninsured,2017,Arizona,4,"694,790",10.1
Uninsured,2018,Arizona,4,"749,977",10.6
Uninsured,2019,Arizona,4,"808,643",11.3
Uninsured,2020 (COVID-19 Pandemic),Arizona,4,"816,797",11.2
Uninsured,2021,Arizona,4,"766,140",10.7
Vacant housing,2011,Arizona,4,"508,305",17.7
Vacant housing,2012,Arizona,4,"479,318",16.7
Vacant housing,2013,Arizona,4,"491,550",17
Vacant housing,2014,Arizona,4,"480,593",16.5
Vacant housing,2015,Arizona,4,"466,165",15.9
Vacant housing,2016,Arizona,4,"442,084",14.9
Vacant housing,2017,Arizona,4,"446,213",14.9
Vacant housing,2018,Arizona,4,"421,604",13.9
Vacant housing,2019,Arizona,4,"405,607",13.2
Vacant housing,2020 (COVID-19 Pandemic),Arizona,4,"345,934",11.1
Vacant housing,2021,Arizona,4,"320,962",10.2
Households living below the federal poverty level,2011,Arkansas,5,"112,824",14.9
Households living below the federal poverty level,2012,Arkansas,5,"110,756",14.6
Households living below the federal poverty level,2013,Arkansas,5,"108,913",14.5
Households living below the federal poverty level,2014,Arkansas,5,"103,805",13.8
Households living below the federal poverty level,2015,Arkansas,5,"104,325",13.7
Households living below the federal poverty level,2016,Arkansas,5,"92,742",12.4
Households living below the federal poverty level,2017,Arkansas,5,"87,545",11.6
Households living below the federal poverty level,2018,Arkansas,5,"97,680",12.7
Households living below the federal poverty level,2019,Arkansas,5,"88,371",11.7
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Arkansas,5,"84,534",11
Households living below the federal poverty level,2021,Arkansas,5,"90,205",11.6
Population 25 years and older w/o HS diploma,2011,Arkansas,5,"314,835",16.2
Population 25 years and older w/o HS diploma,2012,Arkansas,5,"296,306",15.2
Population 25 years and older w/o HS diploma,2013,Arkansas,5,"305,838",15.6
Population 25 years and older w/o HS diploma,2014,Arkansas,5,"287,388",14.6
Population 25 years and older w/o HS diploma,2015,Arkansas,5,"290,071",14.6
Population 25 years and older w/o HS diploma,2016,Arkansas,5,"279,622",14
Population 25 years and older w/o HS diploma,2017,Arkansas,5,"267,542",13.3
Population 25 years and older w/o HS diploma,2018,Arkansas,5,"258,986",12.8
Population 25 years and older w/o HS diploma,2019,Arkansas,5,"254,993",12.5
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Arkansas,5,"242,447",11.8
Population 25 years and older w/o HS diploma,2021,Arkansas,5,"230,890",11.3
Uninsured,2011,Arkansas,5,"492,310",17.1
Uninsured,2012,Arkansas,5,"476,310",16.4
Uninsured,2013,Arkansas,5,"464,950",16
Uninsured,2014,Arkansas,5,"343,171",11.8
Uninsured,2015,Arkansas,5,"277,547",9.5
Uninsured,2016,Arkansas,5,"231,775",7.9
Uninsured,2017,Arkansas,5,"231,802",7.9
Uninsured,2018,Arkansas,5,"243,585",8.2
Uninsured,2019,Arkansas,5,"270,970",9.1
Uninsured,2020 (COVID-19 Pandemic),Arkansas,5,"251,481",8.5
Uninsured,2021,Arkansas,5,"273,029",9.2
Vacant housing,2011,Arkansas,5,"196,850",14.9
Vacant housing,2012,Arkansas,5,"184,366",13.9
