Indicator,Year,Geography,FIPS,Cases,Rate per 100000
Chlamydia,2000,Alabama,1,"15,323",344.2
Chlamydia,2001,Alabama,1,"14,524",325.4
Chlamydia,2002,Alabama,1,"15,611",349.1
Chlamydia,2003,Alabama,1,"14,209",316.5
Chlamydia,2004,Alabama,1,"13,314",295.2
Chlamydia,2005,Alabama,1,"17,109",376.6
Chlamydia,2006,Alabama,1,"22,915",498.7
Chlamydia,2007,Alabama,1,"25,153",542.8
Chlamydia,2008,Alabama,1,"24,760",529.8
Chlamydia,2009,Alabama,1,"25,929",550.8
Chlamydia,2010,Alabama,1,"27,041",565.1
Chlamydia,2011,Alabama,1,"29,626",617.3
Chlamydia,2012,Alabama,1,"30,621",635.9
Chlamydia,2013,Alabama,1,"29,464",610
Chlamydia,2014,Alabama,1,"29,010",599.2
Chlamydia,2015,Alabama,1,"26,359",543.2
Chlamydia,2016,Alabama,1,"26,901",553.1
Chlamydia,2017,Alabama,1,"29,935",614.1
Chlamydia,2018,Alabama,1,"28,437",581.8
Chlamydia,2019,Alabama,1,"31,228",636.9
Chlamydia,2020 (COVID-19 Pandemic),Alabama,1,"27,075",538.8
Chlamydia,2021,Alabama,1,"31,507",625.2
Congenital Syphilis,2000,Alabama,1,8,12.6
Congenital Syphilis,2001,Alabama,1,10,16.5
Congenital Syphilis,2002,Alabama,1,6,10.2
Congenital Syphilis,2003,Alabama,1,4,6.7
Congenital Syphilis,2004,Alabama,1,11,18.5
Congenital Syphilis,2005,Alabama,1,5,8.3
Congenital Syphilis,2006,Alabama,1,9,14.2
Congenital Syphilis,2007,Alabama,1,9,13.9
Congenital Syphilis,2008,Alabama,1,12,18.6
Congenital Syphilis,2009,Alabama,1,13,20.8
Congenital Syphilis,2010,Alabama,1,9,15
Congenital Syphilis,2011,Alabama,1,10,16.8
Congenital Syphilis,2012,Alabama,1,4,6.8
Congenital Syphilis,2013,Alabama,1,2,3.4
Congenital Syphilis,2014,Alabama,1,3,5
Congenital Syphilis,2015,Alabama,1,3,5
Congenital Syphilis,2016,Alabama,1,4,6.8
Congenital Syphilis,2017,Alabama,1,6,10.2
Congenital Syphilis,2018,Alabama,1,7,12.1
Congenital Syphilis,2019,Alabama,1,15,25.6
Congenital Syphilis,2020 (COVID-19 Pandemic),Alabama,1,21,36.4
Congenital Syphilis,2021,Alabama,1,37,63.7
"Early Non-Primary, Non-Secondary Syphilis",2000,Alabama,1,219,4.9
"Early Non-Primary, Non-Secondary Syphilis",2001,Alabama,1,192,4.3
"Early Non-Primary, Non-Secondary Syphilis",2002,Alabama,1,211,4.7
"Early Non-Primary, Non-Secondary Syphilis",2003,Alabama,1,140,3.1
"Early Non-Primary, Non-Secondary Syphilis",2004,Alabama,1,231,5.1
"Early Non-Primary, Non-Secondary Syphilis",2005,Alabama,1,184,4.1
"Early Non-Primary, Non-Secondary Syphilis",2006,Alabama,1,341,7.4
"Early Non-Primary, Non-Secondary Syphilis",2007,Alabama,1,363,7.8
"Early Non-Primary, Non-Secondary Syphilis",2008,Alabama,1,440,9.4
"Early Non-Primary, Non-Secondary Syphilis",2009,Alabama,1,419,8.9
"Early Non-Primary, Non-Secondary Syphilis",2010,Alabama,1,277,5.8
"Early Non-Primary, Non-Secondary Syphilis",2011,Alabama,1,268,5.6
"Early Non-Primary, Non-Secondary Syphilis",2012,Alabama,1,237,4.9
"Early Non-Primary, Non-Secondary Syphilis",2013,Alabama,1,202,4.2
"Early Non-Primary, Non-Secondary Syphilis",2014,Alabama,1,144,3
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,1,177,3.6
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,1,293,6
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,1,425,8.7
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,1,447,9.1
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,1,540,11
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Alabama,1,479,9.5
"Early Non-Primary, Non-Secondary Syphilis",2021,Alabama,1,676,13.4
Gonorrhea,2000,Alabama,1,"12,063",271
Gonorrhea,2001,Alabama,1,"11,182",250.5
Gonorrhea,2002,Alabama,1,"10,118",226.3
Gonorrhea,2003,Alabama,1,"9,303",207.2
Gonorrhea,2004,Alabama,1,"8,206",181.9
Gonorrhea,2005,Alabama,1,"9,406",207
Gonorrhea,2006,Alabama,1,"10,665",232.1
Gonorrhea,2007,Alabama,1,"10,885",234.9
Gonorrhea,2008,Alabama,1,"9,740",208.4
Gonorrhea,2009,Alabama,1,"7,498",159.3
Gonorrhea,2010,Alabama,1,"7,933",165.8
Gonorrhea,2011,Alabama,1,"9,132",190.3
Gonorrhea,2012,Alabama,1,"9,270",192.5
Gonorrhea,2013,Alabama,1,"8,377",173.4
Gonorrhea,2014,Alabama,1,"7,677",158.6
Gonorrhea,2015,Alabama,1,"7,196",148.3
Gonorrhea,2016,Alabama,1,"8,408",172.9
Gonorrhea,2017,Alabama,1,"11,948",245.1
Gonorrhea,2018,Alabama,1,"12,742",260.7
Gonorrhea,2019,Alabama,1,"14,492",295.6
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,1,"14,426",287.1
Gonorrhea,2021,Alabama,1,"16,191",321.3
Primary and Secondary Syphilis,2000,Alabama,1,123,2.8
Primary and Secondary Syphilis,2001,Alabama,1,142,3.2
Primary and Secondary Syphilis,2002,Alabama,1,149,3.3
Primary and Secondary Syphilis,2003,Alabama,1,114,2.5
Primary and Secondary Syphilis,2004,Alabama,1,165,3.7
Primary and Secondary Syphilis,2005,Alabama,1,169,3.7
Primary and Secondary Syphilis,2006,Alabama,1,319,6.9
Primary and Secondary Syphilis,2007,Alabama,1,380,8.2
Primary and Secondary Syphilis,2008,Alabama,1,449,9.6
Primary and Secondary Syphilis,2009,Alabama,1,417,8.9
Primary and Secondary Syphilis,2010,Alabama,1,260,5.4
Primary and Secondary Syphilis,2011,Alabama,1,228,4.8
Primary and Secondary Syphilis,2012,Alabama,1,216,4.5
Primary and Secondary Syphilis,2013,Alabama,1,183,3.8
Primary and Secondary Syphilis,2014,Alabama,1,161,3.3
Primary and Secondary Syphilis,2015,Alabama,1,280,5.8
Primary and Secondary Syphilis,2016,Alabama,1,376,7.7
Primary and Secondary Syphilis,2017,Alabama,1,424,8.7
Primary and Secondary Syphilis,2018,Alabama,1,477,9.8
Primary and Secondary Syphilis,2019,Alabama,1,618,12.6
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Alabama,1,529,10.5
Primary and Secondary Syphilis,2021,Alabama,1,761,15.1
Chlamydia,2000,Alaska,2,"2,569",409.2
Chlamydia,2001,Alaska,2,"2,744",433.1
Chlamydia,2002,Alaska,2,"3,806",592.9
Chlamydia,2003,Alaska,2,"3,900",602.2
Chlamydia,2004,Alaska,2,"3,954",599.7
Chlamydia,2005,Alaska,2,"4,355",652.8
Chlamydia,2006,Alaska,2,"4,525",670.1
Chlamydia,2007,Alaska,2,"4,911",722.3
Chlamydia,2008,Alaska,2,"4,861",709.1
Chlamydia,2009,Alaska,2,"5,166",743.6
Chlamydia,2010,Alaska,2,"6,019",843.1
Chlamydia,2011,Alaska,2,"5,739",794.7
Chlamydia,2012,Alaska,2,"5,462",747.8
Chlamydia,2013,Alaska,2,"5,774",783.4
Chlamydia,2014,Alaska,2,"5,789",786.2
Chlamydia,2015,Alaska,2,"5,660",767.5
Chlamydia,2016,Alaska,2,"5,698",768.5
Chlamydia,2017,Alaska,2,"5,934",802.2
Chlamydia,2018,Alaska,2,"6,159",837.8
Chlamydia,2019,Alaska,2,"6,254",854.9
Chlamydia,2020 (COVID-19 Pandemic),Alaska,2,"5,090",694.9
Chlamydia,2021,Alaska,2,"5,571",760.4
Congenital Syphilis,2000,Alaska,2,0,0
Congenital Syphilis,2001,Alaska,2,0,0
Congenital Syphilis,2002,Alaska,2,0,0
Congenital Syphilis,2003,Alaska,2,0,0
Congenital Syphilis,2004,Alaska,2,0,0
Congenital Syphilis,2005,Alaska,2,0,0
Congenital Syphilis,2006,Alaska,2,0,0
Congenital Syphilis,2007,Alaska,2,0,0
Congenital Syphilis,2008,Alaska,2,0,0
Congenital Syphilis,2009,Alaska,2,0,0
Congenital Syphilis,2010,Alaska,2,0,0
Congenital Syphilis,2011,Alaska,2,0,0
Congenital Syphilis,2012,Alaska,2,1,8.9
