FIPS,Geography,Year,chlamydia_cases,congenital_syphilis_cases,"early_non-primary,_non-secondary_syphilis_cases",gonorrhea_cases,primary_and_secondary_syphilis_cases,chlamydia_rate_per_100000,congenital_syphilis_rate_per_100000,"early_non-primary,_non-secondary_syphilis_rate_per_100000",gonorrhea_rate_per_100000,primary_and_secondary_syphilis_rate_per_100000,households_living_below_the_federal_poverty_level_numerator,population_25_years_and_older_w/o_hs_diploma_numerator,uninsured_numerator,vacant_housing_numerator,households_living_below_the_federal_poverty_level_percent,population_25_years_and_older_w/o_hs_diploma_percent,uninsured_percent,vacant_housing_percent
1,Alabama,2000,15323.0,8.0,219.0,12063.0,123.0,344.2,12.6,4.9,271.0,2.8,,,,,,,,
1,Alabama,2001,14524.0,10.0,192.0,11182.0,142.0,325.4,16.5,4.3,250.5,3.2,,,,,,,,
1,Alabama,2002,15611.0,6.0,211.0,10118.0,149.0,349.1,10.2,4.7,226.3,3.3,,,,,,,,
1,Alabama,2003,14209.0,4.0,140.0,9303.0,114.0,316.5,6.7,3.1,207.2,2.5,,,,,,,,
1,Alabama,2004,13314.0,11.0,231.0,8206.0,165.0,295.2,18.5,5.1,181.9,3.7,,,,,,,,
1,Alabama,2005,17109.0,5.0,184.0,9406.0,169.0,376.6,8.3,4.1,207.0,3.7,,,,,,,,
1,Alabama,2006,22915.0,9.0,341.0,10665.0,319.0,498.7,14.2,7.4,232.1,6.9,,,,,,,,
1,Alabama,2007,25153.0,9.0,363.0,10885.0,380.0,542.8,13.9,7.8,234.9,8.2,,,,,,,,
1,Alabama,2008,24760.0,12.0,440.0,9740.0,449.0,529.8,18.6,9.4,208.4,9.6,,,,,,,,
1,Alabama,2009,25929.0,13.0,419.0,7498.0,417.0,550.8,20.8,8.9,159.3,8.9,,,,,,,,
1,Alabama,2010,27041.0,9.0,277.0,7933.0,260.0,565.1,15.0,5.8,165.8,5.4,,,,,,,,
1,Alabama,2011,29626.0,10.0,268.0,9132.0,228.0,617.3,16.8,5.6,190.3,4.8,,,,,14.9,17.3,14.3,15.5
1,Alabama,2012,30621.0,4.0,237.0,9270.0,216.0,635.9,6.8,4.9,192.5,4.5,,,,,14.7,16.0,13.3,15.7
1,Alabama,2013,29464.0,2.0,202.0,8377.0,183.0,610.0,3.4,4.2,173.4,3.8,,,,,14.3,15.5,13.6,16.8
1,Alabama,2014,29010.0,3.0,144.0,7677.0,161.0,599.2,5.0,3.0,158.6,3.3,,,,,15.0,15.3,12.1,16.6
1,Alabama,2015,26359.0,3.0,177.0,7196.0,280.0,543.2,5.0,3.6,148.3,5.8,,,,,13.7,15.1,10.1,16.8
1,Alabama,2016,26901.0,4.0,293.0,8408.0,376.0,553.1,6.8,6.0,172.9,7.7,,,,,12.7,14.9,9.1,16.9
